P31946	convert	ENSP00000361930
P31946	eggNOG	KOG0841
P62258	convert	ENSP00000264335
P62258	eggNOG	KOG0841
Q04917	convert	ENSP00000248975
Q04917	eggNOG	KOG0841
P61981	convert	ENSP00000306330
P61981	eggNOG	KOG0841
P31947	convert	ENSP00000340989
P31947	eggNOG	KOG0841
P27348	convert	ENSP00000371267
P27348	eggNOG	KOG0841
P63104	convert	ENSP00000379287
P63104	eggNOG	KOG0841
Q96QU6	convert	ENSP00000263776
Q96QU6	eggNOG	KOG0256
Q4AC99	convert	ENSP00000368109
Q4AC99	eggNOG	KOG0256
Q15172	convert	ENSP00000261461
Q15172	eggNOG	KOG2085
Q15173	convert	ENSP00000164133
Q15173	eggNOG	KOG2085
Q14738	convert	ENSP00000417963
Q14738	eggNOG	KOG2085
Q16537	convert	ENSP00000337641
Q16537	eggNOG	KOG2085
Q13362	convert	ENSP00000412324
Q13362	eggNOG	KOG2085
P30153	convert	ENSP00000324804
P30153	eggNOG	KOG0211
P30154	convert	ENSP00000311344
P30154	eggNOG	KOG0211
P63151	convert	ENSP00000325074
P63151	eggNOG	KOG1354
Q00005	convert	ENSP00000377936
Q00005	eggNOG	KOG1354
Q66LE6	convert	ENSP00000399970
Q66LE6	eggNOG	KOG1354
Q9Y2T4	convert	ENSP00000335083
Q9Y2T4	eggNOG	KOG1354
P14060	convert	ENSP00000358421
P14060	eggNOG	KOG1430
P26439	convert	ENSP00000445122
P26439	eggNOG	KOG1430
Q9H2F3	convert	ENSP00000297679
Q9H2F3	eggNOG	KOG1430
Q9Y3L3	convert	ENSP00000350018
Q9Y3L3	eggNOG	KOG4270
P78314	convert	ENSP00000422168
P78314	eggNOG	ENOG502RF2Z
Q7L8J4	convert	ENSP00000355428
Q7L8J4	eggNOG	KOG2008
O60239	convert	ENSP00000373301
O60239	eggNOG	KOG2008
P46952	convert	ENSP00000294973
P46952	eggNOG	KOG3995
P31937	convert	ENSP00000265395
P31937	eggNOG	KOG0409
P29372	convert	ENSP00000219431
P29372	eggNOG	KOG4486
Q13541	convert	ENSP00000340691
Q13541	eggNOG	ENOG502S4SY
Q13542	convert	ENSP00000362314
Q13542	eggNOG	ENOG502S44S
O60516	convert	ENSP00000308472
O60516	eggNOG	ENOG502S03G
Q9NRA8	convert	ENSP00000380659
Q9NRA8	eggNOG	ENOG502QRQE
P08195	convert	ENSP00000367123
P08195	eggNOG	KOG0471
P08908	convert	ENSP00000316244
P08908	eggNOG	KOG3656
P28222	convert	ENSP00000358963
P28222	eggNOG	KOG3656
P28221	convert	ENSP00000363748
P28221	eggNOG	KOG3656
P28566	convert	ENSP00000307766
P28566	eggNOG	KOG3656
P30939	convert	ENSP00000322924
P30939	eggNOG	KOG3656
P28223	convert	ENSP00000437737
P28223	eggNOG	KOG3656
P41595	convert	ENSP00000258400
P41595	eggNOG	KOG3656
P28335	convert	ENSP00000276198
P28335	eggNOG	KOG3656
P46098	convert	ENSP00000347754
P46098	eggNOG	KOG3645
O95264	convert	ENSP00000260191
O95264	eggNOG	KOG3645
Q8WXA8	convert	ENSP00000322617
Q8WXA8	eggNOG	KOG3645
Q70Z44	convert	ENSP00000371929
Q70Z44	eggNOG	KOG3645
A5X5Y0	convert	ENSP00000406050
A5X5Y0	eggNOG	KOG3645
Q13639	convert	ENSP00000353915
Q13639	eggNOG	KOG3656
P47898	convert	ENSP00000287907
P47898	eggNOG	KOG3656
P50406	convert	ENSP00000289753
P50406	eggNOG	KOG3656
P34969	convert	ENSP00000337949
P34969	eggNOG	KOG3656
Q9BXI3	convert	ENSP00000235628
Q9BXI3	eggNOG	ENOG502QRJF
Q96P26	convert	ENSP00000352904
Q96P26	eggNOG	ENOG502QRJF
Q9H0P0	convert	ENSP00000484415
Q9H0P0	eggNOG	KOG3128
Q969T7	convert	ENSP00000389948
Q969T7	eggNOG	KOG3128
P49902	convert	ENSP00000339479
P49902	eggNOG	KOG2469
P21589	convert	ENSP00000257770
P21589	eggNOG	KOG4419
P52209	convert	ENSP00000270776
P52209	eggNOG	KOG2653
