Q9URX3	convert	SPAC922.03.1
Q9URX3	eggNOG	ENOG502QPS1
Q9UT08	convert	SPAP8A3.09c.1
Q9UT08	eggNOG	KOG0211
Q12702	convert	SPAC227.07c.1
Q12702	eggNOG	KOG1354
Q10428	convert	SPCC188.02.1
Q10428	eggNOG	KOG2085
P78759	convert	SPAC6F12.12.1
P78759	eggNOG	KOG2085
P78812	convert	SPBC660.16.1
P78812	eggNOG	KOG2653
O74455	convert	SPCC16C4.10.1
O74455	eggNOG	KOG3147
P78789	convert	SPCC1919.03c.1
P78789	eggNOG	KOG1616
Q10343	convert	SPAC1556.08c.1
Q10343	eggNOG	KOG1764
Q92367	convert	SPBC1652.02.1
Q92367	eggNOG	KOG1286
Q6LA53	convert	SPAC3H5.04.1
Q6LA53	eggNOG	KOG3937
Q9P5N2	convert	SPBC359.03c.1
Q9P5N2	eggNOG	KOG1286
O42652	convert	SPAC10F6.13c.1
O42652	eggNOG	KOG1412
O94320	convert	SPBC725.01.1
O94320	eggNOG	KOG1411
O14192	convert	SPAC56E4.03.1
O14192	eggNOG	KOG0634
O94570	convert	SPBC1773.13.1
O94570	eggNOG	KOG0634
Q9Y7S6	convert	SPCC569.07.1
Q9Y7S6	eggNOG	KOG0634
Q92337	convert	SPAC9E9.12c.1
Q92337	eggNOG	KOG0054
Q10185	convert	SPAC3F10.11c.1
Q10185	eggNOG	KOG0054
Q9P5N0	convert	SPBC359.05.1
Q9P5N0	eggNOG	KOG0054
Q9P7V2	convert	SPAC30.04c.1
Q9P7V2	eggNOG	KOG0054
Q92338	convert	SPBC2D10.18.1
Q92338	eggNOG	KOG1234
P49777	convert	SPBC1105.04c.1
P49777	eggNOG	KOG3105
Q9USY4	convert	SPBC1861.02.1
Q9USY4	eggNOG	ENOG502QV85
Q09927	convert	SPAC21E11.04.1
Q09927	eggNOG	ENOG502QRFX
P78820	convert	SPAC56E4.04c.1
P78820	eggNOG	KOG0368
Q9Y7Z3	convert	SPBC1539.06.1
Q9Y7Z3	eggNOG	KOG0817
O14258	convert	SPAC6G10.12c.1
O14258	eggNOG	KOG1721
Q9P6J1	convert	SPBC1683.11c.1
Q9P6J1	eggNOG	KOG1260
Q9UUJ9	convert	SPAC1952.09c.1
Q9UUJ9	eggNOG	KOG2828
Q9P7W3	convert	SPBC1703.07.1
Q9P7W3	eggNOG	KOG1254
