1	1.0	NFYC1	AT3G48590.1	n/a	AT3G17800.2	T14D3.100	AT3G45160.1	GAUT6	AT1G06780.2	HSP81-2	AT5G56030.2
2	1.0	n/a	AT3G55800.1	n/a	AT3G18170.1	n/a	AT1G73210.1	GRF6	AT5G10450.4	n/a	AT3G05425.1
3	1.0	FUC95A	AT4G34260.1	BASL	AT5G60880.1	n/a	AT1G19240.1	CEP15	AT2G40530.1	NMAT2	AT5G46920.1
4	1.0	n/a	AT5G11250.1	GATL6	AT4G02130.3	OST3A	AT1G11560.1	n/a	AT2G38610.1	PDK	AT3G06483.1
5	1.0	BHLH89	AT1G06170.2	NAGLU	AT5G13690.1	n/a	AT1G26330.2	SRS7	AT1G19790.2	n/a	AT1G66810.1
6	1.0	CPK16	AT2G17890.1	PSK4	AT4G37720.1	SPCH	AT5G53210.1	F26K9_140	AT3G62710.1	PLDGAMMA1	AT4G11850.1
7	1.0	n/a	AT5G35230.1	YUP8H12.4	AT1G05340.1	EML	AT1G71730.1	RF178	AT2G38920.1	BAC2	AT1G79900.1
8	1.0	GCL2	AT2G20770.1	n/a	AT1G48970.1	AT5	AT5G55340.1	PII-2	AT1G13230.1	F17A17.7	AT3G07730.1
9	1.0	PNP1	AT3G03710.1	n/a	AT4G19760.1	RABE1E	AT3G09900.1	RAX1	AT5G23000.1	n/a	AT1G61280.1
10	1.0	GAMMACAL2	AT3G48680.1	T19F6.12	AT4G24070.1	n/a	AT4G13400.1	T15F16.8	AT4G08580.1	n/a	ATMG01050.1
SUM		Min (p-val)	1.0	Max (p-val)	1.0	Mean (p-val)	1.0
1	1.0	ABCB16	AT3G28360.1	NHL22	AT4G09590.1	n/a	AT5G55040.1	CBSCBS2	AT1G69800.2	PCMP-E1	AT4G19191.1
2	1.0	n/a	AT2G24130.1	n/a	AT2G34460.1	n/a	AT4G32000.2	PCMP-E22	AT2G02750.1	RTEL1	AT1G79950.1
3	1.0	WOX9	AT2G33880.1	RPL30C	AT3G18740.1	PSK6	AT3G44735.2	LRS1	AT3G05090.2	DOF2.2	AT2G28810.1
4	1.0	T25B15_60	AT3G52290.1	PRS2	AT1G32380.1	SKU5 similar 12	AT1G55570.1	n/a	AT3G08780.1	MS1	AT5G17920.1
5	1.0	n/a	AT5G25080.1	T8B10_220	AT3G60560.1	CYP85A1	AT5G38970.1	n/a	AT3G30460.1	n/a	AT4G39690.1
6	1.0	TGA10	AT5G06839.3	n/a	AT1G70030.1	BOR3	AT3G06450.1	n/a	AT5G01150.1	MEE65	AT2G01280.1
7	1.0	F27K19_90	AT3G55910.1	DIR13	AT4G11190.1	CLPB2	AT4G14670.1	RTNLB7	AT4G01230.1	LEC	AT3G15356.1
8	1.0	MLO8	AT2G17480.1	T32G9.39	AT1G35040.1	RIPK	AT2G05940.1	ICS2	AT1G18870.1	n/a	AT4G01640.1
9	1.0	n/a	AT3G15890.1	SDRA	AT4G05530.1	ALKBH10B	AT4G02940.1	CCT5	AT1G24510.1	MYB3R3	AT3G09370.2
10	1.0	n/a	AT3G01311.1	n/a	AT1G36030.1	MIOX4	AT4G26260.2	UGT73B1	AT4G34138.1	RP1	AT4G21210.1
SUM		Min (p-val)	1.0	Max (p-val)	1.0	Mean (p-val)	1.0
1	1.0	RSL4	AT1G27740.1	MHM17.20	AT5G57060.1	n/a	AT1G29520.1	RMR1	AT5G66160.1	PME2	AT1G53830.1
2	0.0818	n/a	AT3G13175.1	CHLH	AT5G13630.1	CNGC2	AT5G15410.1	CCS1	AT1G49380.1	n/a	AT5G48370.1
3	1.0	RIC8	AT1G03982.1	CYCT1-5	AT5G45190.2	GATA5	AT5G66320.2	NAGK	AT3G57560.1	n/a	ATMG00690.1
4	1.0	T11I11.40	AT4G34800.1	TRP3	AT3G12560.1	n/a	AT2G05755.1	ndhL	AT1G70760.1	OBAP2C	AT1G29680.1
5	1.0	n/a	AT1G49715.1	n/a	AT3G01085.1	WRKY56	AT1G64000.1	n/a	AT2G34050.1	n/a	AT2G38823.1
6	1.0	STR17	AT2G17850.1	PCMP-E49	AT2G37310.1	WRKY1	AT2G04880.1	TIC214	ATCG01130.1	n/a	AT3G05950.1
