1	0.1612	n/a	SPCPB1C11.03.1	lsm4	SPBC30D10.06.1	smd2	SPAC2C4.03c.1	dpm3	SPBC1677.02.1	rib1	SPAP27G11.09c.1
2	1.0	rrn5	SPAC29A4.10.1	rsa3	SPAC6B12.19.1	n/a	SPAPB1E7.08c.1	pha2	SPBC30D10.16.1	n/a	SPBP4H10.12.1
3	1.0	pop1	SPAC25B8.16.1	chl1	SPAC3G6.11.1	n/a	SPBP16F5.06.1	mak16	SPAC222.06.1	thi4	SPAC23H4.10c.1
4	1.0	n/a	SPAC20G4.01.1	isp3	SPAC1F8.05.1	mip1	SPCC24B10.22.1	n/a	SPAC19A8.14.1	dbp5	SPBC12C2.06.1
5	1.0	n/a	SPBC14C8.09c.1	n/a	SPAC1635.01.1	idp1	SPAC6G10.08.1	chs2	SPBC1709.01.1	n/a	SPAC5H10.07.1
6	1.0	n/a	SPBC1604.16c.1	n/a	SPBC26H8.11c.1	n/a	SPBC28F2.08c.1	rhp51	SPAC644.14c.1	n/a	SPCC550.03c.1
7	1.0	dma1	SPAC17G8.10c.1	psm3	SPAC10F6.09c.1	nrm1	SPBC16A3.07c.1	inp2	SPBC21B10.06c.1	rpc31	SPBC839.12.1
8	1.0	n/a	SPAC20H4.08.1	iki1	SPBC18E5.05c.1	n/a	SPAPB24D3.01.1	smb1	SPAC26A3.08.1	not3	SPAC1B3.05.1
9	1.0	MDH1	SPCC306.08c.1	tsr3	SPAC1F3.04c.1	thp1	SPCC965.05c.1	apl6	SPAC23H3.06.1	abc1	SPAC9E9.12c.1
10	1.0	slt1	SPAC17G6.13.1	pro1	SPAC821.11.1	shg1	SPAC17G8.09.1	n/a	SPAPB1E7.11c.1	rid1	SPBC1709.12.1
SUM		Min (p-val)	0.1612	Max (p-val)	1.0	Mean (p-val)	0.91612
1	1.0	cps3	SPAC3A11.02.1	rpl4302	SPBC83.02c.1	arb2	SPAC13G7.07.1	sbp1	SPBC1773.07c.1	dpb2	SPBP8B7.14c.1
2	1.0	psf2	SPBC725.13c.1	n/a	SPCC1450.03.1	n/a	SPAC23A1.02c.1	n/a	SPAC750.07c.1	mod21	SPAC806.08c.1
3	1.0	pub1	SPAC11G7.02.1	n/a	SPAC6F12.06.1	n/a	SPBC27B12.12c.1	ivn1	SPBC11B10.07c.1	n/a	SPCC1739.06c.1
